id,name,acronym,parent_structure_id,structure_id_path,col,graph_depth
1,Anterior_Superior_Frontal_Gyrus,L.aSFG,131,/143/138/142/131/1,white,5
2,Anterior_Superior_Frontal_Gyrus,R.aSFG,131,/143/138/142/131/2,white,5
3,Middle_Superior_Frontal_Gyrus ,L.mSFG,131,/143/138/142/131/3,white,5
4,Middle_Superior_Frontal_Gyrus ,R.mSFG,131,/143/138/142/131/4,white,5
5,Posterior_Superior_Frontal_Gyrus ,L.pSFG,131,/143/138/142/131/5,white,5
6,Posterior_Superior_Frontal_Gyrus ,R.pSFG,131,/143/138/142/131/6,white,5
7,Anterior_Middle_Frontal_Gyrus ,L.aMFG,131,/143/138/142/131/7,white,5
8,Anterior_Middle_Frontal_Gyrus ,R.aMFG,131,/143/138/142/131/8,white,5
9,Posterior_Middle_Frontal_Gyrus ,L.pMFG,131,/143/138/142/131/9,white,5
10,Posterior_Middle_Frontal_Gyrus ,R.pMFG,131,/143/138/142/131/10,white,5
11,Anterior_Inferior_Frontal_Gyrus ,L.aIFG,131,/143/138/142/131/11,white,5
12,Anterior_Inferior_Frontal_Gyrus ,R.aIFG,131,/143/138/142/131/12,white,5
13,Middle_Infertior_Frontal_Gryus ,L.mIFG,131,/143/138/142/131/13,white,5
14,Middle_Infertior_Frontal_Gryus ,R.mIFG,131,/143/138/142/131/14,white,5
15,Posterior_Inferior_Frontal_Gyrus ,L.pIFG,131,/143/138/142/131/15,white,5
16,Posterior_Inferior_Frontal_Gyrus ,R.pIFG,131,/143/138/142/131/16,white,5
17,Medial_Orbitofrontal_Cortex ,L.mOFC,131,/143/138/142/131/17,white,5
18,Medial_Orbitofrontal_Cortex ,R.mOFC,131,/143/138/142/131/18,white,5
19,Lateral_Orbito-frontal_Cortex ,L.latOFC,131,/143/138/142/131/19,white,5
20,Lateral_Orbito-frontal_Cortex ,R.latOFC,131,/143/138/142/131/20,white,5
21,Anterior_Cingulate_Cortex,L.ACC,132,/143/138/142/132/21,white,5
22,Anterior_Cingulate_Cortex ,R.ACC,132,/143/138/142/132/22,white,5
